"survey_uuid","latitude","longitude","Country","biodiversity"
"00f99986-4431-4733-8eb0-ac5b6c2be17f",-9.1681,32.71605,"TZA",0
"012aa924-9a9e-4115-951e-a2d56a3ef882",-8.05512,36.50336,"TZA",2.61156428947328
"01b20d7d-5cdc-4cc7-a909-e60aba0596cd",-9.64025,34.40332,"TZA",0.560203428174453
"022a4f5a-9ac5-48b5-a82e-ba588f9b678f",-7.6841,36.21299,"TZA",2.22571355704344
"02f81f54-3c07-4e1c-8c7e-f94288fe2523",-8.61466,34.27496,"TZA",0.68679838136256
"036182d8-d1a0-4196-a553-cbad1af2ccf3",-8.05913,38.68941,"TZA",2.81972559096566
"03aad0aa-dbaf-4bb4-a2f1-0cb80930aa27",-9.82472,34.54587,"TZA",0.771826962562632
"046b8971-162d-4b59-aedb-b1021a0c1c05",-8.22279,32.80155,"TZA",1.86554754924996
"0476dd49-5925-4a60-bea0-91fe6c8c65c8",-7.97793,35.21731,"TZA",1.82034783045819
"04c98cdf-765b-4ae8-848a-5b93aa141f60",-7.87723,33.40706,"TZA",0
"052099de-bca7-4ef2-8e4b-deb2db72432e",-7.52345,39.20813,"TZA",1.08819447843039
"05e1a375-ab06-4da5-80da-a66138732f13",-7.70081,38.47129,"TZA",0.815093200889747
"063e8307-9fe3-499c-9cb5-088460eea67c",-7.37144,35.52541,"TZA",1.36772761809184
"06a59a87-5aa9-47d2-8f7b-2edbbe71c3ae",-9.01811,33.41851,"TZA",0.263389589180753
"0836363f-4714-494f-817a-03647f855773",-8.57768,34.91183,"TZA",1.00009633086969
"083b56ff-bc76-4cb3-9a11-59bdb06e2445",-8.56138,34.35061,"TZA",0.60869026981315
"083e5037-ff63-4d91-b0d1-954ca4c1f8b2",-9.28539,33.89577,"TZA",1.16728892546124
"08d7671c-ed59-4b1f-a7b6-fdf75d6914f7",-8.14931,38.71893,"TZA",2.31387718479968
"095288c8-f124-45c1-afe0-1db83372f831",-6.5774,38.56973,"TZA",2.09956013593006
"09b088d4-6bca-4205-a3b2-590463826449",-7.52016,36.42562,"TZA",1.50077921919055
"0a273885-5bb9-400f-b9c0-a4830143a891",-9.78933,34.52111,"TZA",1.76737793453002
"0a4af0ff-87b4-44ab-9569-6b17de4f8a14",-8.57259,34.27673,"TZA",0
"0aa72de0-c30f-46ea-a6a6-7015f78ca7a7",-7.67201,39.09985,"TZA",0.176059383862226
"0b370d2f-efc9-4e55-8908-7d073bee3cca",-8.32127,31.81637,"TZA",0.102585782722872
"0bdd5cca-ff87-47f6-a2bf-1c10a84b29a2",-8.06041,36.48324,"TZA",2.17750408193998
"0c828a5c-4a82-4979-a898-0abc703b2e51",-7.85028,33.39038,"TZA",1.52614531252713
"0d679720-6e41-4985-9d17-ee8afdf4bd9a",-10.09787,34.70153,"TZA",1.79178838930147
"0eb95d58-565e-4a8e-b596-88c142c51d16",-7.56419,36.47226,"TZA",1.71492976800879
"0f4268d7-3397-45da-a526-8e3dccfad803",-7.12236,33.41082,"TZA",1.50269554518733
"10094898-d301-40fd-b695-d409b0f7d8c2",-9.19401,33.80836,"TZA",0.103972077083992
"10834179-c487-48cb-9d3c-9d22fb0d8f6a",-7.93331,31.73594,"TZA",0.162196440251027
"1094541f-8cde-45d5-b55c-b6d27bdd7ce4",-8.30661,36.14143,"TZA",0
"11019c24-47c7-4082-b30b-172d4f357e0a",-7.88136,37.09501,"TZA",1.82301261951749
"11033668-fb59-48dc-8f13-1ba4181c3563",-7.07723,36.2471,"TZA",1.18004936741411
"11062b9d-87f5-440c-ad8d-b9010306d5c8",-6.68343,36.01351,"TZA",0
"1171672d-ffe3-4a24-bde1-70e78e3ffb6b",-9.25314,35.19466,"TZA",0.107968347766811
"1233a7c2-b024-46f1-8143-d5e50e5e8d9f",-7.21183,35.54937,"TZA",1.69321657830299
